id,sensor_id,event_time,processing_time,vehicle_count,avg_speed,ingested_at
496,J4_BORELLA,2026-05-09 12:29:39.321201+05:30,2026-05-09 12:29:40.004000+05:30,24,20.72,2026-05-09 12:29:39.322000+05:30
466,J3_TOWN_HALL,2026-05-09 12:29:39.320580+05:30,2026-05-09 12:29:40.004000+05:30,44,43.34,2026-05-09 12:29:39.321000+05:30
476,J2_BAMBALAPITIYA,2026-05-09 12:29:39.319867+05:30,2026-05-09 12:29:40.004000+05:30,19,44.65,2026-05-09 12:29:39.320000+05:30
495,J1_KOLLUPITIYA,2026-05-09 12:29:39.319355+05:30,2026-05-09 12:29:40.004000+05:30,50,58.27,2026-05-09 12:29:39.319000+05:30
494,J4_BORELLA,2026-05-09 12:29:38.317517+05:30,2026-05-09 12:29:40.004000+05:30,41,42.63,2026-05-09 12:29:38.318000+05:30
465,J3_TOWN_HALL,2026-05-09 12:29:38.316748+05:30,2026-05-09 12:29:40.004000+05:30,64,19.64,2026-05-09 12:29:38.317000+05:30
475,J2_BAMBALAPITIYA,2026-05-09 12:29:38.315900+05:30,2026-05-09 12:29:40.004000+05:30,11,26.48,2026-05-09 12:29:38.316000+05:30
493,J1_KOLLUPITIYA,2026-05-09 12:29:38.315228+05:30,2026-05-09 12:29:40.004000+05:30,28,47.66,2026-05-09 12:29:38.315000+05:30
492,J4_BORELLA,2026-05-09 12:29:37.311099+05:30,2026-05-09 12:29:40.004000+05:30,149,6.50,2026-05-09 12:29:37.312000+05:30
464,J3_TOWN_HALL,2026-05-09 12:29:37.309333+05:30,2026-05-09 12:29:40.004000+05:30,21,33.75,2026-05-09 12:29:37.310000+05:30
474,J2_BAMBALAPITIYA,2026-05-09 12:29:37.308487+05:30,2026-05-09 12:29:40.004000+05:30,48,25.33,2026-05-09 12:29:37.309000+05:30
491,J1_KOLLUPITIYA,2026-05-09 12:29:37.307895+05:30,2026-05-09 12:29:40.004000+05:30,39,23.84,2026-05-09 12:29:37.308000+05:30
490,J4_BORELLA,2026-05-09 12:29:36.305472+05:30,2026-05-09 12:29:40.004000+05:30,49,27.58,2026-05-09 12:29:36.306000+05:30
463,J3_TOWN_HALL,2026-05-09 12:29:36.304089+05:30,2026-05-09 12:29:40.004000+05:30,48,26.89,2026-05-09 12:29:36.305000+05:30
