id,sensor_id,event_time,vehicle_count,avg_speed,alert_type,alerted_at
9919,J4_BORELLA,2026-05-05 01:49:09.570079+05:30,101,5.85,SPEED_BELOW_10,2026-05-05 01:49:10.203139+05:30
9914,J3_TOWN_HALL,2026-05-05 01:49:09.135655+05:30,143,8.84,SPEED_BELOW_10,2026-05-05 01:49:10.198313+05:30
9918,J1_KOLLUPITIYA,2026-05-05 01:49:09.132510+05:30,106,9.86,SPEED_BELOW_10,2026-05-05 01:49:10.203139+05:30
9913,J3_TOWN_HALL,2026-05-05 01:49:07.118744+05:30,132,9.38,SPEED_BELOW_10,2026-05-05 01:49:10.198313+05:30
9910,J2_BAMBALAPITIYA,2026-05-05 01:49:06.107283+05:30,119,7.46,SPEED_BELOW_10,2026-05-05 01:49:10.194555+05:30
9917,J4_BORELLA,2026-05-05 01:49:05.544601+05:30,141,5.52,SPEED_BELOW_10,2026-05-05 01:49:10.203139+05:30
9912,J3_TOWN_HALL,2026-05-05 01:49:05.542222+05:30,104,2.30,SPEED_BELOW_10,2026-05-05 01:49:10.198313+05:30
9909,J2_BAMBALAPITIYA,2026-05-05 01:49:05.538921+05:30,98,5.00,SPEED_BELOW_10,2026-05-05 01:49:10.194555+05:30
9911,J3_TOWN_HALL,2026-05-05 01:49:04.531924+05:30,131,7.78,SPEED_BELOW_10,2026-05-05 01:49:10.198313+05:30
9916,J1_KOLLUPITIYA,2026-05-05 01:49:01.509657+05:30,148,8.44,SPEED_BELOW_10,2026-05-05 01:49:10.203139+05:30
9915,J1_KOLLUPITIYA,2026-05-05 01:49:00.491371+05:30,113,3.90,SPEED_BELOW_10,2026-05-05 01:49:10.203139+05:30
9905,J2_BAMBALAPITIYA,2026-05-05 01:48:59.485235+05:30,141,7.69,SPEED_BELOW_10,2026-05-05 01:49:00.552318+05:30
9906,J4_BORELLA,2026-05-05 01:48:57.473567+05:30,103,4.95,SPEED_BELOW_10,2026-05-05 01:49:00.552340+05:30
9908,J3_TOWN_HALL,2026-05-05 01:48:54.448175+05:30,129,8.76,SPEED_BELOW_10,2026-05-05 01:49:00.558503+05:30
9907,J3_TOWN_HALL,2026-05-05 01:48:51.427083+05:30,130,8.21,SPEED_BELOW_10,2026-05-05 01:49:00.558503+05:30
9904,J3_TOWN_HALL,2026-05-05 01:48:46.376339+05:30,103,6.93,SPEED_BELOW_10,2026-05-05 01:48:50.479493+05:30
9903,J4_BORELLA,2026-05-05 01:48:40.325680+05:30,116,4.26,SPEED_BELOW_10,2026-05-05 01:48:50.472770+05:30
9899,J1_KOLLUPITIYA,2026-05-05 01:48:39.926714+05:30,147,2.01,SPEED_BELOW_10,2026-05-05 01:48:40.379944+05:30
9902,J2_BAMBALAPITIYA,2026-05-05 01:48:37.910876+05:30,90,3.99,SPEED_BELOW_10,2026-05-05 01:48:40.387452+05:30
9901,J3_TOWN_HALL,2026-05-05 01:48:37.302689+05:30,91,5.94,SPEED_BELOW_10,2026-05-05 01:48:40.383723+05:30
9900,J3_TOWN_HALL,2026-05-05 01:48:35.894226+05:30,100,3.50,SPEED_BELOW_10,2026-05-05 01:48:40.383723+05:30
9898,J4_BORELLA,2026-05-05 01:48:33.880601+05:30,107,9.38,SPEED_BELOW_10,2026-05-05 01:48:40.379944+05:30
9897,J1_KOLLUPITIYA,2026-05-05 01:48:30.249697+05:30,137,7.67,SPEED_BELOW_10,2026-05-05 01:48:40.379944+05:30
9892,J1_KOLLUPITIYA,2026-05-05 01:48:28.239310+05:30,118,3.52,SPEED_BELOW_10,2026-05-05 01:48:30.301189+05:30
9891,J4_BORELLA,2026-05-05 01:48:27.235944+05:30,135,8.12,SPEED_BELOW_10,2026-05-05 01:48:30.301189+05:30
9890,J1_KOLLUPITIYA,2026-05-05 01:48:27.230602+05:30,91,4.03,SPEED_BELOW_10,2026-05-05 01:48:30.301189+05:30
9889,J1_KOLLUPITIYA,2026-05-05 01:48:26.826776+05:30,110,4.05,SPEED_BELOW_10,2026-05-05 01:48:30.301189+05:30
9888,J1_KOLLUPITIYA,2026-05-05 01:48:26.222540+05:30,144,6.28,SPEED_BELOW_10,2026-05-05 01:48:30.301189+05:30
9887,J1_KOLLUPITIYA,2026-05-05 01:48:25.816454+05:30,143,2.85,SPEED_BELOW_10,2026-05-05 01:48:30.301189+05:30
9896,J2_BAMBALAPITIYA,2026-05-05 01:48:25.211703+05:30,99,8.11,SPEED_BELOW_10,2026-05-05 01:48:30.302417+05:30
9886,J4_BORELLA,2026-05-05 01:48:24.212500+05:30,134,4.39,SPEED_BELOW_10,2026-05-05 01:48:30.301189+05:30
9895,J2_BAMBALAPITIYA,2026-05-05 01:48:24.201954+05:30,148,2.42,SPEED_BELOW_10,2026-05-05 01:48:30.302417+05:30
9885,J4_BORELLA,2026-05-05 01:48:21.792282+05:30,94,6.79,SPEED_BELOW_10,2026-05-05 01:48:30.301189+05:30
9894,J2_BAMBALAPITIYA,2026-05-05 01:48:21.177428+05:30,106,7.12,SPEED_BELOW_10,2026-05-05 01:48:30.302417+05:30
9893,J2_BAMBALAPITIYA,2026-05-05 01:48:20.779220+05:30,129,7.33,SPEED_BELOW_10,2026-05-05 01:48:30.302417+05:30
9884,J2_BAMBALAPITIYA,2026-05-05 01:48:17.753235+05:30,124,7.99,SPEED_BELOW_10,2026-05-05 01:48:20.736375+05:30
9883,J2_BAMBALAPITIYA,2026-05-05 01:48:15.733777+05:30,128,2.59,SPEED_BELOW_10,2026-05-05 01:48:20.736375+05:30
9881,J3_TOWN_HALL,2026-05-05 01:48:14.143942+05:30,92,3.73,SPEED_BELOW_10,2026-05-05 01:48:20.728219+05:30
9882,J4_BORELLA,2026-05-05 01:48:13.122090+05:30,118,6.57,SPEED_BELOW_10,2026-05-05 01:48:20.736360+05:30
9880,J2_BAMBALAPITIYA,2026-05-05 01:48:09.108523+05:30,118,3.10,SPEED_BELOW_10,2026-05-05 01:48:10.691573+05:30
9878,J2_BAMBALAPITIYA,2026-05-05 01:48:08.681294+05:30,141,8.68,SPEED_BELOW_10,2026-05-05 01:48:10.691573+05:30
9879,J3_TOWN_HALL,2026-05-05 01:48:07.674877+05:30,97,4.53,SPEED_BELOW_10,2026-05-05 01:48:10.691580+05:30
9877,J3_TOWN_HALL,2026-05-05 01:48:02.642006+05:30,103,4.93,SPEED_BELOW_10,2026-05-05 01:48:10.691580+05:30
9876,J3_TOWN_HALL,2026-05-05 01:47:58.027970+05:30,143,4.94,SPEED_BELOW_10,2026-05-05 01:48:00.674066+05:30
9873,J2_BAMBALAPITIYA,2026-05-05 01:47:58.024777+05:30,112,3.09,SPEED_BELOW_10,2026-05-05 01:48:00.666831+05:30
9874,J1_KOLLUPITIYA,2026-05-05 01:47:51.980619+05:30,109,2.32,SPEED_BELOW_10,2026-05-05 01:48:00.672252+05:30
9875,J3_TOWN_HALL,2026-05-05 01:47:51.559436+05:30,113,5.51,SPEED_BELOW_10,2026-05-05 01:48:00.674066+05:30
9872,J4_BORELLA,2026-05-05 01:47:48.966119+05:30,111,6.84,SPEED_BELOW_10,2026-05-05 01:47:50.593217+05:30
9871,J1_KOLLUPITIYA,2026-05-05 01:47:47.942998+05:30,108,5.69,SPEED_BELOW_10,2026-05-05 01:47:50.593217+05:30
9869,J2_BAMBALAPITIYA,2026-05-05 01:47:47.522233+05:30,106,2.11,SPEED_BELOW_10,2026-05-05 01:47:50.593187+05:30
9870,J4_BORELLA,2026-05-05 01:47:45.946075+05:30,142,4.41,SPEED_BELOW_10,2026-05-05 01:47:50.593217+05:30
9866,J3_TOWN_HALL,2026-05-05 01:47:44.926172+05:30,92,2.19,SPEED_BELOW_10,2026-05-05 01:47:50.586501+05:30
9867,J2_BAMBALAPITIYA,2026-05-05 01:47:44.923529+05:30,130,8.62,SPEED_BELOW_10,2026-05-05 01:47:50.593187+05:30
9868,J4_BORELLA,2026-05-05 01:47:44.503970+05:30,119,2.53,SPEED_BELOW_10,2026-05-05 01:47:50.593217+05:30
9865,J3_TOWN_HALL,2026-05-05 01:47:42.919945+05:30,100,4.56,SPEED_BELOW_10,2026-05-05 01:47:50.586501+05:30
9863,J3_TOWN_HALL,2026-05-05 01:47:36.858549+05:30,125,7.37,SPEED_BELOW_10,2026-05-05 01:47:40.535689+05:30
9862,J2_BAMBALAPITIYA,2026-05-05 01:47:35.841799+05:30,132,6.67,SPEED_BELOW_10,2026-05-05 01:47:40.532909+05:30
9864,J1_KOLLUPITIYA,2026-05-05 01:47:32.843505+05:30,122,8.68,SPEED_BELOW_10,2026-05-05 01:47:40.541002+05:30
9861,J2_BAMBALAPITIYA,2026-05-05 01:47:31.814061+05:30,108,7.68,SPEED_BELOW_10,2026-05-05 01:47:40.532909+05:30
9859,J4_BORELLA,2026-05-05 01:47:25.778786+05:30,101,3.27,SPEED_BELOW_10,2026-05-05 01:47:30.425565+05:30
9860,J2_BAMBALAPITIYA,2026-05-05 01:47:21.777147+05:30,117,3.17,SPEED_BELOW_10,2026-05-05 01:47:30.429498+05:30
9857,J1_KOLLUPITIYA,2026-05-05 01:47:19.736042+05:30,94,3.43,SPEED_BELOW_10,2026-05-05 01:47:20.335548+05:30
9858,J2_BAMBALAPITIYA,2026-05-05 01:47:13.245115+05:30,104,4.48,SPEED_BELOW_10,2026-05-05 01:47:20.337093+05:30
9856,J3_TOWN_HALL,2026-05-05 01:47:08.116775+05:30,103,4.31,SPEED_BELOW_10,2026-05-05 01:47:10.756445+05:30
9853,J1_KOLLUPITIYA,2026-05-05 01:47:06.665797+05:30,142,8.98,SPEED_BELOW_10,2026-05-05 01:47:10.749583+05:30
9855,J3_TOWN_HALL,2026-05-05 01:47:06.635570+05:30,115,7.61,SPEED_BELOW_10,2026-05-05 01:47:10.756445+05:30
9852,J1_KOLLUPITIYA,2026-05-05 01:47:05.657571+05:30,100,9.73,SPEED_BELOW_10,2026-05-05 01:47:10.749583+05:30
9854,J2_BAMBALAPITIYA,2026-05-05 01:47:02.636480+05:30,146,4.51,SPEED_BELOW_10,2026-05-05 01:47:10.753984+05:30
9851,J3_TOWN_HALL,2026-05-05 01:46:57.608503+05:30,110,4.56,SPEED_BELOW_10,2026-05-05 01:47:00.647395+05:30
9849,J1_KOLLUPITIYA,2026-05-05 01:46:57.606203+05:30,105,7.45,SPEED_BELOW_10,2026-05-05 01:47:00.646337+05:30
9848,J2_BAMBALAPITIYA,2026-05-05 01:46:57.029343+05:30,94,5.97,SPEED_BELOW_10,2026-05-05 01:47:00.645996+05:30
9847,J1_KOLLUPITIYA,2026-05-05 01:46:56.599121+05:30,98,8.40,SPEED_BELOW_10,2026-05-05 01:47:00.646337+05:30
9850,J3_TOWN_HALL,2026-05-05 01:46:55.595598+05:30,149,9.03,SPEED_BELOW_10,2026-05-05 01:47:00.647395+05:30
9846,J2_BAMBALAPITIYA,2026-05-05 01:46:50.983215+05:30,141,9.02,SPEED_BELOW_10,2026-05-05 01:47:00.645996+05:30
9845,J1_KOLLUPITIYA,2026-05-05 01:46:47.518821+05:30,146,4.09,SPEED_BELOW_10,2026-05-05 01:46:50.589346+05:30
9841,J3_TOWN_HALL,2026-05-05 01:46:46.953209+05:30,119,6.03,SPEED_BELOW_10,2026-05-05 01:46:50.580719+05:30
9844,J1_KOLLUPITIYA,2026-05-05 01:46:44.934083+05:30,120,9.81,SPEED_BELOW_10,2026-05-05 01:46:50.589346+05:30
9840,J3_TOWN_HALL,2026-05-05 01:46:41.503917+05:30,99,2.14,SPEED_BELOW_10,2026-05-05 01:46:50.580719+05:30
9843,J1_KOLLUPITIYA,2026-05-05 01:46:41.470627+05:30,147,6.45,SPEED_BELOW_10,2026-05-05 01:46:50.589346+05:30
9842,J1_KOLLUPITIYA,2026-05-05 01:46:40.494021+05:30,139,8.58,SPEED_BELOW_10,2026-05-05 01:46:50.589346+05:30
9833,J3_TOWN_HALL,2026-05-05 01:46:38.895445+05:30,140,6.54,SPEED_BELOW_10,2026-05-05 01:46:40.506151+05:30
9839,J4_BORELLA,2026-05-05 01:46:37.481592+05:30,100,8.32,SPEED_BELOW_10,2026-05-05 01:46:40.508100+05:30
