id,sensor_id,event_time,processing_time,vehicle_count,avg_speed,ingested_at
200998,J4_BORELLA,2026-05-05 01:49:09.577393+05:30,2026-05-05 01:49:10.002000+05:30,46,32.62,2026-05-05 01:49:09.579000+05:30
201028,J3_TOWN_HALL,2026-05-05 01:49:09.575726+05:30,2026-05-05 01:49:10.002000+05:30,57,56.67,2026-05-05 01:49:09.577000+05:30
200975,J2_BAMBALAPITIYA,2026-05-05 01:49:09.571672+05:30,2026-05-05 01:49:10.002000+05:30,64,39.53,2026-05-05 01:49:09.573000+05:30
200997,J4_BORELLA,2026-05-05 01:49:09.570079+05:30,2026-05-05 01:49:10.002000+05:30,101,5.85,2026-05-05 01:49:09.574000+05:30
200996,J1_KOLLUPITIYA,2026-05-05 01:49:09.569514+05:30,2026-05-05 01:49:10.002000+05:30,54,55.76,2026-05-05 01:49:09.571000+05:30
201027,J3_TOWN_HALL,2026-05-05 01:49:09.566614+05:30,2026-05-05 01:49:10.002000+05:30,33,19.18,2026-05-05 01:49:09.569000+05:30
200973,J2_BAMBALAPITIYA,2026-05-05 01:49:09.564899+05:30,2026-05-05 01:49:10.002000+05:30,55,34.46,2026-05-05 01:49:09.565000+05:30
200995,J1_KOLLUPITIYA,2026-05-05 01:49:09.563158+05:30,2026-05-05 01:49:10.002000+05:30,20,30.86,2026-05-05 01:49:09.563000+05:30
200994,J4_BORELLA,2026-05-05 01:49:09.137349+05:30,2026-05-05 01:49:10.002000+05:30,12,31.16,2026-05-05 01:49:09.138000+05:30
201026,J3_TOWN_HALL,2026-05-05 01:49:09.135655+05:30,2026-05-05 01:49:10.002000+05:30,143,8.84,2026-05-05 01:49:09.137000+05:30
200971,J2_BAMBALAPITIYA,2026-05-05 01:49:09.134057+05:30,2026-05-05 01:49:10.002000+05:30,13,25.70,2026-05-05 01:49:09.134000+05:30
200993,J1_KOLLUPITIYA,2026-05-05 01:49:09.132510+05:30,2026-05-05 01:49:10.002000+05:30,106,9.86,2026-05-05 01:49:09.133000+05:30
200992,J4_BORELLA,2026-05-05 01:49:08.565867+05:30,2026-05-05 01:49:10.002000+05:30,33,28.77,2026-05-05 01:49:08.567000+05:30
201025,J3_TOWN_HALL,2026-05-05 01:49:08.564809+05:30,2026-05-05 01:49:10.002000+05:30,19,43.33,2026-05-05 01:49:08.565000+05:30
200970,J2_BAMBALAPITIYA,2026-05-05 01:49:08.563362+05:30,2026-05-05 01:49:10.002000+05:30,63,47.51,2026-05-05 01:49:08.563000+05:30
200991,J1_KOLLUPITIYA,2026-05-05 01:49:08.562806+05:30,2026-05-05 01:49:10.002000+05:30,31,28.94,2026-05-05 01:49:08.563000+05:30
200990,J4_BORELLA,2026-05-05 01:49:08.561249+05:30,2026-05-05 01:49:10.002000+05:30,78,35.21,2026-05-05 01:49:08.561000+05:30
201024,J3_TOWN_HALL,2026-05-05 01:49:08.560647+05:30,2026-05-05 01:49:10.002000+05:30,51,48.33,2026-05-05 01:49:08.560000+05:30
200968,J2_BAMBALAPITIYA,2026-05-05 01:49:08.559418+05:30,2026-05-05 01:49:10.002000+05:30,75,57.28,2026-05-05 01:49:08.560000+05:30
200989,J1_KOLLUPITIYA,2026-05-05 01:49:08.558807+05:30,2026-05-05 01:49:10.002000+05:30,54,18.24,2026-05-05 01:49:08.559000+05:30
200988,J4_BORELLA,2026-05-05 01:49:08.131189+05:30,2026-05-05 01:49:10.002000+05:30,44,58.22,2026-05-05 01:49:08.131000+05:30
201023,J3_TOWN_HALL,2026-05-05 01:49:08.130614+05:30,2026-05-05 01:49:10.002000+05:30,28,54.01,2026-05-05 01:49:08.130000+05:30
200967,J2_BAMBALAPITIYA,2026-05-05 01:49:08.129759+05:30,2026-05-05 01:49:10.002000+05:30,36,53.13,2026-05-05 01:49:08.130000+05:30
200987,J1_KOLLUPITIYA,2026-05-05 01:49:08.129239+05:30,2026-05-05 01:49:10.002000+05:30,37,35.39,2026-05-05 01:49:08.129000+05:30
200986,J4_BORELLA,2026-05-05 01:49:07.561154+05:30,2026-05-05 01:49:10.002000+05:30,59,16.60,2026-05-05 01:49:07.561000+05:30
201022,J3_TOWN_HALL,2026-05-05 01:49:07.560736+05:30,2026-05-05 01:49:10.002000+05:30,65,50.82,2026-05-05 01:49:07.561000+05:30
200966,J2_BAMBALAPITIYA,2026-05-05 01:49:07.558928+05:30,2026-05-05 01:49:10.002000+05:30,80,16.70,2026-05-05 01:49:07.560000+05:30
200985,J1_KOLLUPITIYA,2026-05-05 01:49:07.558123+05:30,2026-05-05 01:49:10.002000+05:30,62,22.80,2026-05-05 01:49:07.558000+05:30
200984,J4_BORELLA,2026-05-05 01:49:07.556747+05:30,2026-05-05 01:49:10.002000+05:30,42,16.89,2026-05-05 01:49:07.557000+05:30
201021,J3_TOWN_HALL,2026-05-05 01:49:07.555782+05:30,2026-05-05 01:49:10.002000+05:30,73,18.72,2026-05-05 01:49:07.556000+05:30
200964,J2_BAMBALAPITIYA,2026-05-05 01:49:07.553750+05:30,2026-05-05 01:49:10.002000+05:30,79,38.52,2026-05-05 01:49:07.555000+05:30
200983,J1_KOLLUPITIYA,2026-05-05 01:49:07.552539+05:30,2026-05-05 01:49:10.002000+05:30,64,28.91,2026-05-05 01:49:07.553000+05:30
200982,J4_BORELLA,2026-05-05 01:49:07.124187+05:30,2026-05-05 01:49:10.002000+05:30,60,24.93,2026-05-05 01:49:07.125000+05:30
201020,J3_TOWN_HALL,2026-05-05 01:49:07.118744+05:30,2026-05-05 01:49:10.002000+05:30,132,9.38,2026-05-05 01:49:07.123000+05:30
200963,J2_BAMBALAPITIYA,2026-05-05 01:49:07.117063+05:30,2026-05-05 01:49:10.002000+05:30,63,57.63,2026-05-05 01:49:07.117000+05:30
200981,J1_KOLLUPITIYA,2026-05-05 01:49:07.115057+05:30,2026-05-05 01:49:10.002000+05:30,71,38.19,2026-05-05 01:49:07.115000+05:30
200980,J4_BORELLA,2026-05-05 01:49:06.554432+05:30,2026-05-05 01:49:10.002000+05:30,77,50.60,2026-05-05 01:49:06.555000+05:30
201019,J3_TOWN_HALL,2026-05-05 01:49:06.551117+05:30,2026-05-05 01:49:10.002000+05:30,74,30.47,2026-05-05 01:49:06.552000+05:30
200961,J2_BAMBALAPITIYA,2026-05-05 01:49:06.548700+05:30,2026-05-05 01:49:10.002000+05:30,41,46.52,2026-05-05 01:49:06.550000+05:30
200979,J1_KOLLUPITIYA,2026-05-05 01:49:06.547771+05:30,2026-05-05 01:49:10.002000+05:30,32,20.92,2026-05-05 01:49:06.548000+05:30
200978,J4_BORELLA,2026-05-05 01:49:06.547571+05:30,2026-05-05 01:49:10.002000+05:30,32,30.93,2026-05-05 01:49:06.548000+05:30
201018,J3_TOWN_HALL,2026-05-05 01:49:06.546226+05:30,2026-05-05 01:49:10.002000+05:30,46,34.55,2026-05-05 01:49:06.547000+05:30
